,vid,HG03453,HG01891,HG02559,HG01978,HG00673,HG00741,HG02486,HG00735,HG01258,HG01106,HG03516,HG03579,HG01123,HG03540,HG02622,HG02717,HG01928,HG01952,HG02572,HG02148,HG01358,HG02886,HG00438,HG01175,HG02630,HG00621,HG01361,HG02257
60307,60307.0,53.0,36.0,35.0,46.0,32.0,44.0,43.0,32.0,30.0,43.0,28.0,43.0,33.0,55.0,51.0,60.0,28.0,43.0,12.0,30.0,21.0,35.0,33.0,36.0,52.0,38.0,34.0,40.0
60325,60325.0,45.0,39.0,41.0,30.0,44.0,43.0,36.0,38.0,35.0,44.0,35.0,42.0,41.0,62.0,63.0,49.0,31.0,45.0,16.0,43.0,43.0,38.0,40.0,46.0,72.0,58.0,37.0,35.0
60343,60343.0,44.0,34.0,42.0,27.0,41.0,36.0,37.0,27.0,40.0,35.0,32.0,52.0,48.0,51.0,57.0,39.0,28.0,48.0,14.0,31.0,38.0,34.0,24.0,46.0,39.0,50.0,38.0,33.0
60369,60369.0,29.0,26.0,36.0,30.0,32.0,25.0,42.0,43.0,27.0,35.0,40.0,40.0,32.0,38.0,40.0,45.0,22.0,26.0,7.0,30.0,31.0,27.0,26.0,29.0,37.0,30.0,31.0,28.0
60370,60370.0,32.0,27.0,37.0,32.0,33.0,26.0,43.0,45.0,27.0,35.0,40.0,41.0,33.0,41.0,40.0,45.0,24.0,26.0,7.0,30.0,31.0,27.0,26.0,31.0,37.0,30.0,33.0,28.0
60445,60445.0,42.0,35.0,44.0,33.0,44.0,29.0,35.0,45.0,30.0,37.0,24.0,35.0,38.0,44.0,58.0,60.0,36.0,42.0,22.0,27.0,40.0,33.0,37.0,31.0,46.0,40.0,34.0,33.0
60447,60447.0,38.0,38.0,38.0,40.0,43.0,26.0,37.0,47.0,36.0,34.0,25.0,43.0,34.0,36.0,55.0,67.0,36.0,35.0,29.0,32.0,36.0,34.0,33.0,32.0,45.0,40.0,37.0,30.0
60491,60491.0,44.0,40.0,42.0,37.0,41.0,23.0,32.0,32.0,35.0,26.0,41.0,37.0,48.0,46.0,46.0,38.0,29.0,34.0,8.0,34.0,41.0,39.0,26.0,26.0,43.0,51.0,27.0,27.0
60550,60550.0,43.0,43.0,51.0,30.0,37.0,32.0,44.0,41.0,31.0,39.0,50.0,40.0,29.0,53.0,42.0,51.0,22.0,34.0,24.0,41.0,39.0,39.0,38.0,30.0,49.0,39.0,41.0,32.0
60556,60556.0,57.0,38.0,50.0,30.0,39.0,38.0,37.0,45.0,24.0,33.0,49.0,32.0,44.0,46.0,47.0,50.0,24.0,39.0,15.0,32.0,44.0,41.0,29.0,28.0,46.0,43.0,48.0,37.0
60558,60558.0,49.0,39.0,48.0,30.0,42.0,29.0,45.0,46.0,22.0,34.0,36.0,37.0,44.0,49.0,49.0,54.0,24.0,33.0,13.0,35.0,48.0,34.0,23.0,39.0,41.0,40.0,37.0,31.0
60602,60602.0,34.0,37.0,33.0,23.0,43.0,32.0,27.0,35.0,26.0,28.0,34.0,46.0,33.0,49.0,38.0,50.0,33.0,49.0,33.0,40.0,35.0,37.0,33.0,32.0,40.0,34.0,26.0,35.0
60672,60672.0,25.0,27.0,45.0,29.0,31.0,19.0,21.0,34.0,27.0,31.0,36.0,23.0,23.0,39.0,49.0,42.0,28.0,38.0,10.0,33.0,31.0,29.0,22.0,24.0,28.0,41.0,33.0,42.0
